Req Number,Provider,NPI#,Contact,Email,Submitted On,Submitted By,Status,Position,Zone,Region,Division,Location,Skills,Address 1,Address 2,City,State,Postal Code,Country,Tags
REQ-ADVE-00132,"Crag, Daniel ",6784567890,,Test+Daniel@goringo.com,04/10/2023,Rose Staffing,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",HN456,,Adin,California,45645,United States,
REQ-ADVE-00128,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,03/31/2023,MadMax Associates,Name Not Cleared,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00128,"Gibbs, Herschelle",1234546578,,Test+GibbsCan@goringo.com,03/31/2023,MadMax Associates,Rejected,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",AD12,ad,Acampo,California,24563,United States,
REQ-ADVE-00128,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,03/07/2023,Rose Staffing,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00128,"Ginsberg, Allen ",8788768990,8798989988,Test+friga@goringo.com,04/18/2023,Core Staffing,Withdrawn,LPN-Allied,one,Northeast,Kansas Div,Stark Medical Centre,"Hospital experience,2 yr. degree,Medical Knowledge",9 H Drive,,Kennedy,New York,98808,United States,
REQ-ADVE-00128,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,03/07/2023,Rose Staffing,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00128,"Brin, Sergey",6543456786,9876556576,Test+sergey@goringo.com,03/07/2023,Rose Staffing,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,76545,United States,
REQ-ADVE-00128,"khjjkjh, lock",3257441244,3878541632,Test+lock@goringo.com,03/17/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",l,l,Abanda,Alabama,03245,United States,
REQ-ADVE-00128,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,03/20/2023,MadMax Associates,Withdrawn,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
REQ-ADVE-00128,"Diesel, Win",5345465758,,Test+Wnicand@goringo.com,03/20/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",E123,B23,Alma,Arkansas,24356,United States,
REQ-ADVE-00128,"Rose, Abby",3214588545,2315648745,Test+test+abbyP@goringo.com,01/01/1970,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,32456,United States,
REQ-ADVE-00128,"Fury, Nick",,7654334567,test@goringo.com,03/20/2023,MadMax Associates,Assignment Completed,Accountant -  CA,one,Northeast,Kansas Div,Stark Medical Centre,Ability to Prioritize,r,,Alamosa,Colorado,23455,United States,
REQ-ADVE-00128,"Gibbs, Herschelle",1234546578,,Test+GibbsCan@goringo.com,03/20/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",AD12,ad,Acampo,California,24563,United States,
REQ-ADVE-00128,"khjjkjh, lock",3257441244,3878541632,Test+lock@goringo.com,03/17/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",l,l,Abanda,Alabama,03245,United States,
REQ-ADVE-00128,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,03/17/2023,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00128,"Walker, Allan",3454768878,4458809090,Test+wewer@goringo.com,03/31/2023,MadMax Associates,Withdrawn,Senior Contracts Rep - CA,one,Northeast,Kansas Div,Stark Medical Centre,Excellent Follow-up Skills,t,,Abanda,Alabama,56566,United States,"Test,nurse"
REQ-ADVE-00127,"Martin, Bob",1234567891,8897879798,Test+bob@goringo.com,04/21/2023,MadMax Associates,Assignment Completed,CRNA,one,Northeast,Kansas Div,Stark Medical Centre,"Anesthesia preparation and administration,Patient Assessment",312 Roads,,New York City,New York,10198,United States,
REQ-ADVE-00127,"Rejected, Risk",3214784569,3544545457,Test+risk@goringo.com,04/04/2023,MadMax Associates,Vendor Presentation Rejected,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,01354,United States,
REQ-ADVE-00127,"Nyongo, Lupita",,5686568964,Test+lupita@goringo.com,04/05/2023,MadMax Associates,Risk Rejected,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,12457,United States,
REQ-ADVE-00126,"Urich, Ben",5656456789,4567898765,Test+ben@goringo.com,02/17/2023,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,Address 1,Address 2,Addison,Illinois,76445,United States,
REQ-ADVE-00126,"Potts, Pepper",3412321245,5645768798,Test+fghjkl@goringo.com,02/20/2023,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,h,,Abanda,Alabama,87656,United States,
REQ-ADVE-00126,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,02/19/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00126,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,02/20/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00125,"Bezos, Jeff",5678657867,7655678903,Test+jeff@goringo.com,02/16/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,76567,United States,
REQ-ADVE-00124,"Gray, Tessa",,3215467894,Test+test+tessaP@goringo.com,02/15/2023,MadMax Associates,Assignment Extended,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",test,,Adamsville,Alabama,32145,United States,
REQ-ADVE-00124,"Diesel, Win",5345465758,,Test+Wnicand@goringo.com,02/21/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",E123,B23,Alma,Arkansas,24356,United States,
REQ-ADVE-00123,"Castle, Frank",5687987459,4561232465,Test+frank@goringo.com,02/14/2023,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,y,Abanda,Alabama,12324,United States,
REQ-ADVE-00123,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,02/14/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00123,"Urich, Ben",5656456789,4567898765,Test+ben@goringo.com,01/01/1970,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,Address 1,Address 2,Addison,Illinois,76445,United States,
REQ-ADVE-00123,"crak, jack",5353723737,6593760372,jack@gmail.com,02/14/2023,MadMax Associates,Withdrawn,Administration Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00123,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,02/15/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00123,"Grey, Tessa",8756875323,8765345678,test+tessa@goringo.com,02/15/2023,MadMax Associates,Offer Rejected,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Add 1,Add 2,Akron,Alabama,97565,United States,
REQ-ADVE-00122,"Castle, Frank",5687987459,4561232465,Test+frank@goringo.com,02/20/2023,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,y,Abanda,Alabama,12324,United States,
REQ-ADVE-00122,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,02/13/2023,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00121,"Gibbs, Herschelle",1234546578,,Test+GibbsCan@goringo.com,02/21/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",AD12,ad,Acampo,California,24563,United States,
REQ-ADVE-00121,"cand, new",8989898980,,test+new@goringo.com,03/17/2023,MadMax Associates,Withdrawn,Administration Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Data Entry,h,,Agoura Hills,California,88888,United States,
REQ-ADVE-00121,"Satyen, Swati",9876645654,9787645767,Test+swati@goringo.com,02/13/2023,Lily Staffing,Rejected,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",i,i,Abanda,Alabama,98765,United States,
REQ-ADVE-00121,"Joshi, Chetan",7646234853,6535657442,test+joshii@goringo.com,03/20/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",u,u,Abanda,Alabama,65346,United States,
REQ-ADVE-00120,"Potts, Pepper",3412321245,5645768798,Test+fghjkl@goringo.com,02/08/2023,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,h,,Abanda,Alabama,87656,United States,
REQ-ADVE-00120,"Rose, Abby",3214588545,2315648745,Test+test+abbyP@goringo.com,02/13/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,32456,United States,
REQ-ADVE-00120,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,02/09/2023,MadMax Associates,Withdrawn,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
REQ-ADVE-00119,"Josel Popp, Franz",,8764678989,Test+franz@goringo.com,02/08/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework","1071 Bergen Street, NY 1",,Brooklyn,New York,11216,United States,
REQ-ADVE-00119,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,02/03/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00119,"Dassler, Adolf",9876534757,8764576879,Test+adolf@goringo.com,02/03/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,98765,United States,
REQ-ADVE-00119,"Brin, Sergey",6543456786,9876556576,Test+sergey@goringo.com,02/03/2023,Rose Staffing,Withdrawn,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,76545,United States,
REQ-ADVE-00118,"Boucher , Mark ",1235436783,,Test+BouCan@goringo.com,02/21/2023,Epic Staffing,Assignment Completed,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",HN34,,Agoura Hills,California,32456,United States,
REQ-ADVE-00118,"nam, sam",4444444343,5653333333,test+sa@gmail.com,02/03/2023,Epic Staffing,Assignment Completed,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",HN-54,tttt,Alicia,Arkansas,34567,United States,
REQ-ADVE-00118,"Pratt, Chris ",3245678908,2345678978,Test+chris@svam.com,02/15/2023,Epic Staffing,Assignment Completed,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",HN23,House No34,Allport,Arkansas,23456,United States,
REQ-ADVE-00118,"Crag, Daniel ",6784567890,,Test+Daniel@goringo.com,04/10/2023,Epic Staffing,Assignment Completed,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",HN456,,Adin,California,45645,United States,
REQ-ADVE-00117,"Page, Larry",8764356775,9874567889,Test+larry@goringo.com,01/30/2023,Rose Staffing,Assignment Completed,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",k,k,Adamsville,Alabama,87653,United States,
REQ-ADVE-00117,"nam, sam",4444444343,5653333333,test+sa@gmail.com,01/30/2023,Epic Staffing,Withdrawn,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",HN-54,tttt,Alicia,Arkansas,34567,United States,
REQ-ADVE-00117,"Pratt, Chris ",3245678908,2345678978,Test+chris@svam.com,01/31/2023,Epic Staffing,Withdrawn,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",HN23,House No34,Allport,Arkansas,23456,United States,
REQ-ADVE-00117,"liam, jack",9876789800,,test+tiiwariiatul@gmail.com,01/29/2023,Epic Staffing,Assignment Completed,Assistant Buyer,one,Northeast,South West ,Front site,Assistant Buyer,HN62,,Allport,Arkansas,345234567,United States,
REQ-ADVE-00116,"Potts, Pepper",3412321245,5645768798,Test+fghjkl@goringo.com,01/30/2023,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,h,,Abanda,Alabama,87656,United States,
REQ-ADVE-00116,"Lara, Brain",8786787878,,Test+BtainCan@goringo.com,10/25/2023,MadMax Associates,Withdrawn,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",H,,Agoura Hills,California,76789,United States,
REQ-ADVE-00116,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,01/27/2023,MadMax Associates,Withdrawn,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
REQ-ADVE-00116,"Morey, Kiran",,3423233222,Test+kk@goringo.com,09/09/2023,MadMax Associates,Name Not Cleared,Accounts Payable Clerk,one,Northeast,Kansas Div,Stark Medical Centre,"Accounts Payable,Code,Outlook",Test Address,2143323 Test,Bridgeport,Connecticut,10016,United States,
REQ-ADVE-00116,"Hermes, Sandra",8765344546,9876456456,Test+sandra@goringo.com,01/30/2023,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Abbeville,Alabama,75457,United States,
REQ-ADVE-00116,"crak, jack",5353723737,6593760372,jack@gmail.com,01/03/2024,MadMax Associates,Rejected,Administration Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00116,"Page, Larry",8764356775,9874567889,Test+larry@goringo.com,01/27/2023,Rose Staffing,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Adamsville,Alabama,87653,United States,
REQ-ADVE-00116,"Lara, Brain",8786787878,,Test+BtainCan@goringo.com,10/25/2023,MadMax Associates,Withdrawn,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",H,,Agoura Hills,California,76789,United States,
REQ-ADVE-00116,"Lara, Brain",8786787878,,Test+BtainCan@goringo.com,10/25/2023,MadMax Associates,Withdrawn,Site Supervisor,one,Northeast,Kansas Div,Stark Medical Centre," 5 yrs. Experience Minimum,''	Interface with the Talent Acquisition Managers",H,,Agoura Hills,California,76789,United States,
REQ-ADVE-00116,"Josel Popp, Franz",,8764678989,Test+franz@goringo.com,01/01/1970,Rose Staffing,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework","1071 Bergen Street, NY 1",,Brooklyn,New York,11216,United States,
REQ-ADVE-00115,"Schitt, Twyla",7654567765,8754356768,Test+twyla@goringo.com,01/30/2023,Rose Staffing,Assignment Completed,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",j,j,Alamo Lake,Arizona,32444,United States,
REQ-ADVE-00115,"Bezos, Jeff",5678657867,7655678903,Test+jeff@goringo.com,01/30/2023,Rose Staffing,Withdrawn,ABCO - JT,,South,Div 1,LOC1,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,76567,United States,
REQ-ADVE-00107,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,12/28/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00101,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,12/26/2022,MadMax Associates,Rejected,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
REQ-ADVE-00101,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,12/26/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00090,"Romanov, Natasha",8766678989,0654657678,Test+natasha@goringo.com,12/09/2022,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,15601 MOORESVILLE RD,,Athens,Alabama,356137308,United States,rate_card_test_div
REQ-ADVE-00089,"crak, jack",5353723737,6593760372,jack@gmail.com,12/07/2022,MadMax Associates,Assignment Completed,Administration Clerk,one,Northeast,South West ,Front site,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00089,"share, ffhg",3257213101,2357543213,Test+erw@goringo.com,02/03/2024,MadMax Associates,Assignment Extended,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",l,l,Akron,Alabama,32501,United States,
REQ-ADVE-00089,"Grey, Tessa",8756875323,8765345678,test+tessa@goringo.com,06/10/2024,MadMax Associates,Pending Credentialing,ABCO - JT,one,Northeast,South West ,Front site,"1-3 Years Experience,.NET Framework",Add 1,Add 2,Akron,Alabama,97565,United States,
REQ-ADVE-00083,"crak, jack",5353723737,6593760372,jack@gmail.com,12/02/2022,MadMax Associates,Withdrawn,Administration Clerk,one,Northeast,South West ,Old town ,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00081,"liam, jack",9876789800,,test+tiiwariiatul@gmail.com,11/25/2022,MadMax Associates,Assignment Completed,Assistant Buyer,one,Northeast,South West ,Front site,Assistant Buyer,HN62,,Allport,Arkansas,345234567,United States,
REQ-ADVE-00081,"liam, jack",9876789800,,test+tiiwariiatul@gmail.com,02/26/2024,MadMax Associates,Interview Stage In-progress,Assistant Buyer,one,Northeast,South West ,Front site,Assistant Buyer,HN62,,Allport,Arkansas,345234567,United States,
REQ-ADVE-00081,"cand, new",8989898980,,test+new@goringo.com,11/30/2022,MadMax Associates,Client Presentation Rejected,Administration Clerk,one,Northeast,South West ,Front site,Data Entry,h,,Agoura Hills,California,88888,United States,
REQ-ADVE-00080,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,11/25/2022,MadMax Associates,Withdrawn,ABCO - JT,,South,Kentucky Div,Wilkenson Hospital,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00074,"Romanov, Natasha",8766678989,0654657678,Test+natasha@goringo.com,11/18/2022,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,15601 MOORESVILLE RD,,Athens,Alabama,356137308,United States,rate_card_test_div
REQ-ADVE-00074,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,11/18/2022,MadMax Associates,Client Presentation Rejected,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
REQ-ADVE-00074,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,11/25/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00074,"share, ffhg",3257213101,2357543213,Test+erw@goringo.com,11/18/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",l,l,Akron,Alabama,32501,United States,
REQ-ADVE-00069,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,11/10/2022,MadMax Associates,Assignment Completed,Administrative Assistant,one,Northeast,South West ,Front site,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
REQ-ADVE-00068,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,11/25/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00066,"Urich, Ben",5656456789,4567898765,Test+ben@goringo.com,12/13/2022,MadMax Associates,Rejected,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,Address 1,Address 2,Addison,Illinois,76445,United States,
REQ-ADVE-00062,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,10/27/2022,MadMax Associates,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
REQ-ADVE-00057,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,10/18/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,South West ,Old town ,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00053,"crak, jack",5353723737,6593760372,jack@gmail.com,10/12/2022,MadMax Associates,Assignment Completed,Administration Clerk,one,Northeast,South West ,Old town ,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00052,"Rocky , Rock",5466677767,7493974644,Test+rock@goringo.com,10/11/2022,Lily Staffing,Assignment Completed,Administration Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Data Entry,Hn@77373,HN @6373,Alamosa,Colorado,89876,United States,
REQ-ADVE-00052,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,10/11/2022,Lily Staffing,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00050,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,09/28/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00049,"Green, John",2654897896,6568989898,Test+john@goringo.com,09/28/2022,Lily Staffing,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",t,t,Abanda,Alabama,15465,United States,
REQ-ADVE-00049,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,09/28/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00049,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,02/08/2023,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00048,"Mathew, Josh",2343454643,5456465679,Test+tetqwew@goringo.com,09/27/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Abanda,Alabama,23656,United States,
REQ-ADVE-00047,"Mathew, Josh",2343454643,5456465679,Test+tetqwew@goringo.com,09/27/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Abanda,Alabama,23656,United States,
REQ-ADVE-00042,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,09/18/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00042,"Brooks, Gwendolyn",9090909090,9090909090,Test+qwert@goringo.com,09/18/2022,Core Staffing,Withdrawn,Anesthesiologist ? Neuroanesthesia,one,Northeast,Kansas Div,Stark Medical Centre,Board Certified,600 F Street,,Los Angeles,California,43544,United States,
REQ-ADVE-00040,"Mathew, Josh",2343454643,5456465679,Test+tetqwew@goringo.com,09/20/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Abanda,Alabama,23656,United States,
REQ-ADVE-00039,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,09/15/2022,Lily Staffing,Withdrawn,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00039,"crak, jack",5353723737,6593760372,jack@gmail.com,09/15/2022,MadMax Associates,Withdrawn,Administration Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00038,"Pitt, Brad",3434343434,5555555555,test+brad@goringo.com,09/15/2022,MadMax Associates,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",12 Hn,14 HN ,Alexander,Arkansas,56565,United States,
